Course ID,Name,Subject,Credit Hours,Category,Corequisite,Prerequisite,Season,Year
EE-3333,Digital Electronics I,EE,3,Core,,CS-2114,Fall,
ENG-3043,Technical Writing,ENG,3,Core,,,Spring,Odd
PHIL-3723,"Computers, Ethics & Society",PHIL,3,Core,,,Spring,Even
CS-4133,Compilers,CS,3,CS-Elective,,CS-3113,Fall,Even
CS-4223,UNIX Systems Programming,CS,3,CS-Elective,,CS-3113,Fall,
CS-4213,Distributed Computing,CS,3,CS-Elective,,CS-3113,Fall,Demand
CS-4433,Artificial Intelligence,CS,3,CS-Elective,,CS-3113,Spring,Odd
CS-4413,Computer Graphics I,CS,3,CS-Elective,,CS-3113,Spring,
CS-4423,Computer Graphics II,CS,3,CS-Elective,,CS-4413,,Demand
CS-4723,Automata Theory,CS,3,CS-Elective,,CS-3113,Fall,Odd
CS-4823,Scripting Languages,CS,3,CS-Elective,,CS-3113,,Demand
CS-4811,Computer Science Seminar,CS,1,CS-Elective,,CS-3113,,Demand
CS-482V,Special Problems,CS,3,CS-Elective,,CS-3113,,Demand
CS-483V,Internship,CS,15,CS-Elective,,CS-3113,,Demand
MATH-4533,Numerical Method,MATH,3,CS-Elective,,"MATH-2214, CS-2114",Fall,Odd
MATH-3254,Calculus III,MATH,4,CS-Elective,,MATH-2214,"Spring, Fall, Summer",
CIT-3353,Web Site Design and Development,CIT,3,Ecommerce-Track,,,Fall,Even
CIT-4453,Global E-Commerce,CIT,3,Ecommerce-Track,,,Spring,
MKTG-3013,Marketing,MKTG,3,Ecommerce-Track,,,"Spring, Fall, Summer",
JOUR-3673,Digital Design,JOUR,3,Ecommerce-Track,,,"Spring, Fall, Summer",
CIT-3013,Management Information System,CIT,3,IT-Track,,,"Spring, Fall, Summer",
CIT-2523,Telecommunications and Networking Essentials,CIT,3,IT-Track,,,Spring,
CIT-3623,LAN Administration,CIT,3,IT-Track,,,Fall,
BSYS-2563,Business Communication,BSYS,3,IT-Track,,ENG-1013,"Spring, Fall, Summer",
ACCT-2023,Fundamental Accounting Concepts,ACCT,3,GenBusiness-Track,,,"Fall, Spring",
FIN-3713,Business Finance,FIN,3,GenBusiness-Track,,ACCT-2023,"Spring, Fall, Summer",
LAW-2023,Legal Environment of Business,LAW,3,GenBusiness-Track,,,"Spring, Fall, Summer",
MGMT-3153,Organization Behavior,MGMT,3,GenBusiness-Track,,,"Spring, Fall, Summer",
MKTG-3013,Marketing,MKTG,3,GenBusiness-Track,,,"Spring, Fall, Summer",
